itemID,userID,rating,timestamp,category,brand
2,1297,1,4/4/2003,Computers & Accessories,Linksys
2,4218,4,8/15/2005,Camera & Photo,Sony
283,4891,5,11/19/2005,Camera & Photo,Vivitar
2,5677,4,3/2/2006,Camera & Photo,Nikon
259,6838,5,9/10/2006,Camera & Photo,Canon
259,6874,4,9/21/2006,Camera & Photo,Olympus
259,7242,5,11/12/2006,Camera & Photo,Olympus
2,7363,1,11/29/2006,Camera & Photo,Kodak
2,7994,5,1/9/2007,Camera & Photo,Olympus
2,8295,4,1/16/2007,Camera & Photo,Kodak
283,8387,5,1/19/2007,Television & Video,Panasonic
283,8440,5,1/22/2007,Camera & Photo,Kodak
283,8677,5,2/7/2007,Car Electronics & GPS,Garmin
283,8852,4,2/19/2007,Car Electronics & GPS,Garmin
283,9095,3,3/8/2007,Camera & Photo,Canon
283,9163,5,3/12/2007,Car Electronics & GPS,Garmin
283,9208,4,3/15/2007,Computers & Accessories,Apple
2,9507,5,4/5/2007,Camera & Photo,Kodak
259,2989,5,4/11/2007,Car Electronics & GPS,Garmin
283,9631,5,4/13/2007,Computers & Accessories,Sennheiser
283,9714,5,4/22/2007,Car Electronics & GPS,Garmin
283,9846,4,5/6/2007,Car Electronics & GPS,Garmin
283,10028,4,5/12/2007,Car Electronics & GPS,Garmin
283,10085,5,5/14/2007,Headphones,Sennheiser
283,10090,5,5/14/2007,Car Electronics & GPS,Garmin
283,10106,1,5/14/2007,Camera & Photo,Kodak
283,10254,5,5/22/2007,Headphones,Panasonic
283,10260,5,5/23/2007,Car Electronics & GPS,Garmin
283,10310,5,5/27/2007,Camera & Photo,Canon
283,10455,5,6/6/2007,Computers & Accessories,Linksys
283,10460,5,6/7/2007,Car Electronics & GPS,Garmin
283,10469,2,6/7/2007,Camera & Photo,Kodak
283,10500,5,6/8/2007,Camera & Photo,Canon
259,1304,2,6/11/2007,Headphones,Sennheiser
283,10611,5,6/14/2007,Computers & Accessories,Linksys
283,10660,3,6/19/2007,Portable Audio & Video,Philips
283,10670,5,6/20/2007,Computers & Accessories,Linksys
283,10764,5,6/26/2007,Camera & Photo,Canon
283,10810,5,6/29/2007,Computers & Accessories,Apple
283,10815,5,6/29/2007,Car Electronics & GPS,JVC
283,10834,5,7/2/2007,Headphones,EldHus
283,10851,5,7/3/2007,Camera & Photo,Canon
283,10866,5,7/3/2007,Camera & Photo,Philips
283,11039,5,7/13/2007,Camera & Photo,Philips
283,11058,1,7/14/2007,Computers & Accessories,Linksys
283,11063,5,7/15/2007,Portable Audio & Video,Philips
283,11109,4,7/17/2007,Camera & Photo,Olympus
2,11226,2,7/24/2007,Camera & Photo,Olympus
283,11365,4,8/1/2007,Car Electronics & GPS,Garmin
283,11391,5,8/2/2007,Car Electronics & GPS,Garmin
283,11415,4,8/4/2007,Camera & Photo,Kodak
283,11517,4,8/9/2007,Camera & Photo,Philips
457,11694,5,8/23/2007,Home Audio,Sony
283,11780,5,8/25/2007,Camera & Photo,Canon
457,11857,5,8/30/2007,Headphones,EldHus
2,11939,5,9/4/2007,Portable Audio & Video,Archos
283,9207,5,9/4/2007,Home Audio,Sony
283,2507,5,9/5/2007,Car Electronics & GPS,Garmin
283,11955,4,9/5/2007,Car Electronics & GPS,Garmin
283,11993,2,9/7/2007,Camera & Photo,Nikon
283,12155,5,9/17/2007,Camera & Photo,Canon
283,12354,5,9/27/2007,Headphones,Sennheiser
457,12501,5,10/5/2007,Car Electronics & GPS,Garmin
283,12528,4,10/7/2007,Computers & Accessories,Sennheiser
259,12551,5,10/10/2007,Camera & Photo,Kodak
283,12607,4,10/13/2007,Camera & Photo,Canon
